Region,Regionname,Year,Sum of Energykcal,Sum of EnergykJ,Sum of FoodEkcal,Sum of FoodEkJ,Average_bmival2
1,A,1,1684893.519,7092520.573,1618714.759,6818351.427,23.59631593
1,A,2,1365135.706,5747007.355,1328839.781,5596638.522,23.04609949
1,A,3,1323734.473,5571129.851,1288310.276,5424372.465,23.10016165
1,A,4,1534284.585,6457737.878,1489295.477,6271354.429,24.59517228
1,A,5,1473424.107,6201305.039,1427473.913,6010939.951,23.91107066
1,A,6,1586461.02,6680515.367,1545788.736,6512015.908,23.11817734
1,A,7,1559571.904,6564227.904,1521579.373,6406830.277,23.52172717
1,A,8,1449457.094,6100482.876,1403813.901,5911389.648,23.71044468
1,A,9,1190928.49,5012945.361,1155815.009,4867475.228,23.01857675
1,A,10,1477981.391,6220459.273,1442715.833,6074359.105,23.77647776
1,A,11,1441951.603,6068106.997,1402297.688,5903826.494,25.1953421
2,B,1,1347447.257,5670855.153,1307926.936,5507128.107,23.53806155
2,B,2,1206049.418,5075623.808,1168966.162,4921993.176,24.36303107
2,B,3,1011205.81,4256601.057,977677.6413,4117698.644,23.63926353
2,B,4,899861.1165,3787239.989,866678.3746,3649768.63,24.4943219
2,B,5,1211589.131,5100078.642,1191482.73,5016780.695,23.05667901
2,B,6,1191524.608,5014328.364,1156848.301,4870669.375,22.85561612
2,B,7,1134082.96,4772462.064,1098093.48,4623362.793,24.53320677
2,B,8,1097344.884,4618596.791,1056401.918,4448975.93,24.36314929
2,B,9,1113850.563,4687348.774,1087492.363,4578150.517,23.37667171
2,B,10,1057416.751,4449414.677,1029801.269,4335007.677,23.58912583
2,B,11,940407.9579,3958026.234,917116.0878,3861531.35,23.79956433
3,C,1,2884169.9,12134146.39,2788674.981,11738524.58,22.65516141
3,C,2,2562933.204,10786388.15,2497967.039,10517242.61,23.17226218
3,C,3,2394844.338,10082694.81,2337632.179,9845673.011,22.70373408
3,C,4,2987607.912,12572612.42,2907787.676,12241928.59,23.30367459
3,C,5,2811727.864,11832241.26,2728839.868,11488848.14,22.88330755
3,C,6,2256737.21,9499449.805,2205423.898,9286866.081,22.79670375
3,C,7,2793649.925,11757397.78,2706205.433,11395127.74,23.21096593
3,C,8,2659590.507,11193438.85,2588660.046,10899584.08,23.00271156
3,C,9,2407919.125,10132316.4,2351181.206,9897259.305,23.1025143
3,C,10,2553797.877,10745784.76,2476112.345,10423944.7,23.16251457
3,C,11,2489844.943,10474183.7,2427554.69,10216124.11,22.89354965
4,D,1,2611344.139,10983844.44,2506443.578,10549256.41,24.09816598
4,D,2,2383946.129,10034621.17,2342128.873,9861378.252,23.52735468
4,D,3,2106396.613,8869278.784,2045177.617,8615657.231,23.6917984
4,D,4,3457300.174,14547856.37,3375959.881,14210875.16,23.85914929
4,D,5,445791.5775,1876327.899,431738.6043,1818108.438,22.87433614
4,D,6,491393.1487,2068475.172,479670.2382,2019908.828,23.37644494
4,D,7,435308.2154,1832357.863,424576.9246,1787899.658,23.04047131
4,D,8,367372.8823,1546278.812,358991.0249,1511553.975,23.93852459
4,D,9,386064.789,1625211.41,382488.8432,1610396.777,24.10480173
4,D,10,584880.7112,2461888.209,568296.1838,2393180.882,24.59474519
4,D,11,449784.8784,1892877.132,436713.5339,1838724.422,22.81578976
5,E,1,401502.6725,1690302.105,387167.894,1630915.165,23.19599291
5,E,2,1318735.312,5550515.915,1282483.35,5400329.215,23.46065458
5,E,3,1093621.374,4603094.906,1064939.16,4484268.589,25.03052155
5,E,4,1333111.1,5610636.946,1279262.474,5387549.78,25.29567372
5,E,5,1216311.062,5120422.392,1187059.495,4999237.329,23.93917972
5,E,6,1419375.082,5973519.042,1382499.232,5820747.663,23.96592567
5,E,7,1018461.206,4287224.928,991042.1965,4173631.889,24.07307356
5,E,8,1377068.042,5797064.049,1341608.775,5650161.372,23.70668815
5,E,9,1135032.418,4775847.915,1099742.705,4629647.678,24.34301573
5,E,10,272248.8245,1145516.446,267272.9173,1124901.974,22.97890792
5,E,11,216095.775,909279.368,211771.6091,891364.966,23.43904331
6,F,1,1579604.363,6645739.263,1538433.219,6475173.095,22.84378157
6,F,2,1477038.117,6215374.95,1444474.006,6080466.492,23.65431804
6,F,3,1543543.188,6497650.345,1517824.053,6391099.644,23.30411952
6,F,4,1565266.162,6585010.261,1527617.414,6429036.874,24.23822838
6,F,5,263705.1503,1109486.247,254189.2803,1070063.357,23.11179901
6,F,6,1471776.126,6195918.543,1442299.071,6073799.313,23.57664937
6,F,7,1189380.458,5006205.535,1160299.033,4885725.343,23.7144515
6,F,8,1042644.41,4388412.265,1009565.312,4251370.285,24.09427106
6,F,9,1024547.126,4314114.685,1013098.096,4266682.988,23.09529015
6,F,10,1083548.807,4559418.285,1063084.948,4474639.441,23.63020243
6,F,11,855531.9011,3601051.872,839661.1331,3535301.54,22.60930921
