Region,Regionname,Year,Sum of Energykcal,Sum of EnergykJ,Sum of FoodEkcal,Sum of FoodEkJ,Average of bmival2,Average of AgeR,Average of Income
1,A,1,10708.74737,345709736.3,2.70915E+12,9.65696E+16,37.72104146,28.13768116,0.721014493
1,A,2,11644.5058,412512191.9,4.11367E+12,2.20532E+17,37.90084486,29.28384279,0.755458515
1,A,3,11627.59078,360348253.1,2.76691E+12,9.55512E+16,37.9282342,30.26406926,0.735930736
1,A,4,11452.42339,381449958.2,3.25236E+12,1.31425E+17,39.46756204,33.64453125,0.828125
1,A,5,6476.839831,201366527.3,1.52955E+12,5.20481E+16,24.04660723,32.51260504,1.651260504
1,A,6,6588.934138,217145490.1,1.77151E+12,6.58476E+16,22.33076494,29.25384615,1.615384615
1,A,7,8121.008296,261324916.3,2.14836E+12,8.19445E+16,27.7814805,29.56884058,1.739130435
1,A,8,7982.638322,254032125.5,1.99929E+12,7.18129E+16,28.07841718,29.59615385,1.696153846
1,A,9,7263.866372,227588949.3,1.764E+12,6.33319E+16,23.87157972,31.19534884,1.520930233
1,A,10,7503.438189,225326207.5,1.66483E+12,5.53716E+16,25.51364339,30.33076923,1.576923077
1,A,11,7310.232586,217206866.1,1.59701E+12,5.31405E+16,27.14389902,34.70229008,1.404580153
2,B,1,10206.54245,349893143.8,2.97752E+12,1.15609E+17,33.04764503,28.07981221,0.727699531
2,B,2,12516.1243,436811024.8,3.79147E+12,1.55007E+17,41.91330403,28.91758242,0.912087912
2,B,3,11061.66258,365381057.6,2.94436E+12,1.07929E+17,36.58085653,28.40963855,0.801204819
2,B,4,10812.50636,347180151.8,2.65805E+12,9.03957E+16,37.8288313,31.5974026,0.88961039
2,B,5,6021.217293,194081028.6,1.53399E+12,5.44193E+16,20.15772091,28.04639175,1.809278351
2,B,6,6154.730808,207378642.6,1.69085E+12,6.16343E+16,21.78824895,28.35519126,1.661202186
2,B,7,8416.687567,279523702.9,2.22418E+12,7.87373E+16,29.68258857,31.56395349,1.703488372
2,B,8,9950.903806,338498983.9,2.83038E+12,1.07203E+17,33.73794321,32.83236994,1.710982659
2,B,9,8234.087045,274293737.8,2.28282E+12,8.63357E+16,28.55065454,30.50568182,1.789772727
2,B,10,7355.313128,223826946.7,1.65398E+12,5.44969E+16,26.5752454,32.32777778,1.655555556
2,B,11,7992.496916,264596878.2,2.14787E+12,7.8183E+16,27.1744609,31.03870968,1.748387097
3,C,1,12571.14148,424664115.8,3.45417E+12,1.25645E+17,39.59067861,27.96832579,0.807692308
3,C,2,12737.33682,410213461.3,3.21863E+12,1.12878E+17,42.29746642,29.38647343,0.879227053
3,C,3,12584.43682,397286849.6,3.04642E+12,1.03671E+17,41.24186254,28.0177665,0.903553299
3,C,4,11644.36634,378267060,3.04411E+12,1.11122E+17,38.13490484,30.03092784,0.746391753
3,C,5,8992.853593,304624119.2,2.51647E+12,9.39528E+16,29.12961265,29.86877828,1.690045249
3,C,6,6488.775273,206625641,1.64397E+12,5.94506E+16,22.75688246,29.64850136,1.866485014
3,C,7,10069.77612,338271962.8,2.84997E+12,1.10388E+17,33.20720394,30.9205298,1.759381898
3,C,8,8983.201733,283507891.8,2.20686E+12,7.73438E+16,30.48042255,29.14578588,1.701594533
3,C,9,9307.730901,313037390.5,2.70172E+12,1.08615E+17,30.47462797,31.05985037,1.63840399
3,C,10,8665.077845,271355594.9,2.09254E+12,7.29738E+16,29.82244734,31.16173121,1.544419134
3,C,11,8910.317151,288508409.6,2.30397E+12,8.26204E+16,27.54527541,30.45792079,1.576732673
4,D,1,2757.055645,96302345.66,7.86929E+11,2.9374E+16,9.55812295,31.63092269,0.780548628
4,D,2,2773.497414,91221063.43,7.7058E+11,3.08211E+16,9.690170347,29.11578947,0.960526316
4,D,3,2895.373582,91502982.95,7.05244E+11,2.45046E+16,10.07393179,30.72619048,0.735119048
4,D,4,1531.922347,47607116.16,3.64704E+11,1.26284E+16,5.484377174,30.85961872,0.681109185
4,D,5,7243.002189,243262733.6,2.23666E+12,1.08108E+17,21.47982732,34.21333333,1.093333333
4,D,6,6817.999586,207618000.1,1.55008E+12,5.17884E+16,25.76903093,28.25,1.397727273
4,D,7,10651.97558,347688547.9,2.82926E+12,1.03506E+17,32.68786964,31.36111111,0.833333333
4,D,8,10774.34097,319491563,2.37794E+12,8.11205E+16,35.96859124,32.42028986,0.855072464
4,D,9,8273.967532,245743810.1,1.80682E+12,5.88402E+16,29.81879907,31.52173913,1.115942029
4,D,10,8393.000625,256557071.8,1.89888E+12,6.42721E+16,34.61250042,29.2967033,1.527472527
4,D,11,8514.368774,266543841,2.02412E+12,6.84463E+16,28.10995713,30,1.92
5,E,1,7708.312014,263406094.8,2.22708E+12,8.54301E+16,23.90181212,24.85294118,0.911764706
5,E,2,2761.552475,82679455.22,6.14162E+11,2.09464E+16,10.13188012,32.45535714,0.754464286
5,E,3,2768.341131,89035267.41,7.34281E+11,2.86029E+16,10.0256825,32.65284974,0.834196891
5,E,4,2601.852513,85196099.66,6.85824E+11,2.56712E+16,9.284271263,34.64,0.715555556
5,E,5,1558.10425,46560865.59,3.36535E+11,1.07637E+16,5.577557844,32.25714286,1.528571429
5,E,6,1397.25051,44523289.04,3.55422E+11,1.3102E+16,5.10659982,31.2987013,1.359307359
5,E,7,2183.74793,70866613.81,5.73452E+11,2.1166E+16,6.872437403,32.75806452,1.516129032
5,E,8,1919.1553,58689945.65,4.4233E+11,1.49576E+16,6.738700658,32.1755102,1.689795918
5,E,9,4093.123789,123957027.8,9.11956E+11,3.00935E+16,15.27050123,33.30729167,1.604166667
5,E,10,4792.399998,171029742,1.50936E+12,5.82994E+16,13.65557606,24.59090909,2
5,E,11,4052.82094,129023427.5,1.05235E+12,3.9657E+16,15.06661214,26.97297297,1.675675676
6,F,1,1553.457,54426836.77,4.71661E+11,1.84566E+16,4.555547249,27.8699187,0.947154472
6,F,2,1280.676859,40601820.76,3.11582E+11,1.07174E+16,4.573007892,24.85,0.733333333
6,F,3,1484.179941,46224104.9,3.55714E+11,1.22424E+16,5.317687932,27.59183673,0.840816327
6,F,4,1302.141875,40741368.18,3.1514E+11,1.1048E+16,4.727920715,29.67330677,0.792828685
6,F,5,2026.114879,67480656.19,5.52253E+11,2.02439E+16,6.893185092,28.10526316,1.473684211
6,F,6,1498.619419,47640193.15,3.67712E+11,1.26342E+16,5.483843055,27.60909091,1.586363636
6,F,7,1476.468674,46878781.95,3.60406E+11,1.22949E+16,4.7,28.91237113,1.62371134
6,F,8,1359.114139,44266084.4,3.47291E+11,1.22479E+16,4.301553522,30.20652174,1.652173913
6,F,9,1125.568474,34334622.2,2.76106E+11,1.07536E+16,3.644703059,26.075,1.575
6,F,10,1336.072094,44582875.58,3.83875E+11,1.55612E+16,4.068366843,28.0964467,1.436548223
6,F,11,1175.64217,35240388.97,2.59919E+11,8.48915E+15,3.829317501,27.30434783,1.639751553
